,Title,Text,Domain
0,Don't worry about sweat with our top deodorant pick,"Native Natural

Sweating. We have to do it, but that doesn’t mean we need to like the results. Sweat helps us regulate our body temperatures but it can lead to unsightly armpit stains and smells.

It’s not the sweat itself that creates the odor, it’s the bacteria that live in those tend-to-sweat places that do it.

Deodorant masks or stops that natural smell. But with so many products out there, it may be hard to find one that works for you. So we went ahead, examined what’s out there and Native Natural Deodorant in Coconut & Vanilla .

A favorite among many reviewers from websites like Amazon and Walgreens, this deodorant features a baking soda and aluminum-free formula that means anyone with sensitive underarms can still enjoy it, while also working to ensure it doesn’t leave any stains on your clothes. Made for both men and women, it’s incredibly easy to apply, and has a scent that is neither strong nor overbearing. Non-pretentious and simple, this deodorant is made to protect you from wetness and odor.

One user on Amazon tried it on her son and found that it no longer made him “smell like a used hockey jersey.” Another called it a “godsend,” while one user said that despite being a deodorant, it also helped to stop the sweat and to stay dry all day. One user commented that it kept her “smelling lovely” all day.

For this reason (along with its 4.5-star rating ), the Native Natural Deodorant in Coconut & Vanilla is our pick for the best natural deodorant.

Medically reviewed by Yvonne Stolworthy, MSN, RN.",www.medicaldaily.com
1,Our Pick For Best Nail File,"ClassyLady Beauty

Be honest for a second, and think how much have you thought about your nail file. If you’re, well… like us, then the answer would probably be “not much.” Usually stashed in your purse, cabinet, or somewhere in your room it is easy to forget about the humble nail file.

But, they’re actually more important that we give them credit for, getting the right file matters. With the wrong file or the wrong technique you could be doing more harm than good.

So, what’s the best option? The ClassyLady Professional Glass Nail File.

Made to be extremely durable and basically last you all your life, this professional crystal glass nail file is a premium-type product without a premium price tag. Constructed from glass that’s been hardened during production to make it ultra-durable, this glass nail file is gentle, but firm, on your nails. Nails are made from layers of the protein keratin, while traditional files can damage these layers the ClassyLady file helps to seal them together, promoting healthier, stronger nails. Heck, it even comes with a case.

Life is simply too short for average nails, and the countless users that gave this product a 4.6 out of star rating can attest to that. One for example, noted how using the file helped her grow long nails without any peeling or chipping. There’s also another that praised it for being gentler on her fingers, while one simply said that it does what it’s made for and does it well.

Combine that with 2,000+ positive reviews from top websites and it’s safe to say that we found our top nail file product. Say it with us? Nailed it!

Medically reviewed by Yvonne Stolworthy, MSN, RN",www.medicaldaily.com
2,Got acne? Here's our top pick for a fix.,"COSRX

It’s the rare person indeed who is indifferent to the presence of a large pimple on his face.

But popping it invites further damage to the site, and for the infection to spread. So, reach instead for the Cosrx Acne Pimple Master Patch.

The idea behind these patches is pretty simple: Instead of using creams to dry out the blemish, simply cover it with an acne patch, which will then soothe and treat it, killing the bacteria and leaving no marks.

Easily a Korean (K)-beauty favorite, this product is one of the most highly-acclaimed pimple patches you can find today.. But how does this work? The Cosrx patch is made from a “hydrocolloid bandage” to speed healing. The bandage absorbs excess liquid without drying your skin, encouraging faster healing. Just tap on a patch, go to sleep, and wake up to clearer skin. Application is incredibly easy and pain free.

Users love them. Review after review praises the patches for being affordable, easy to use, and effective at treating pimples. On Amazon the patches have a 4.6 out of 5-star rating and more than 14,000 reviews. One reviewer, for example, cited how the patches cut healing time from a week to 2-3 days, while another said using them during sleep provides fantastic results by morning. And while pimple patches may not work equally on every type of pimple, a number of customers said that it’s still effective in acting as a protective barrier for your skin while it assists in healing, while another called it the “holy grail” in products that should always be “recommended, given as a gift, and on-hand.”

The Cosrx Acne Pimple Master Patch is a must-have for anyone having acne problems. Best to make it a staple in your beauty arsenal.

Medically reviewed by Yvonne Stolworthy, MSN, RN.",www.medicaldaily.com
3,"A Year in, the PPE Shortage Story Still Has No Ending","It’s been a year since Covid-19 reached American shores, but frontline workers are still struggling to find proper protection. Despite increases in production and drastic measures to expand the supply, shortages of personal protective equipment (PPE) haven’t disappeared. If anything, the situation has become more confusing as emergency rules linger, counterfeits litter the market, and supplies just aren’t getting where they’re needed.

This story will start at its beginning.

Rationing

The extraordinary PPE shortages have forced healthcare administrators to make extraordinary decisions: Hospitals, needing to preserve their limited supplies, cut back on how often supplies were doled out and strictly prioritized who gots the best supplies-- OSHA even released guidelines for dividing workers into risk tiers based on patient contact and chance of encountering Covid-19. Single-use N95 masks were stretched for days or even weeks, with official CDC guidance released for mask reuse. As recently as February, 81% of nurses surveyed by National Nurses United reported still re-using masks and the AP reported that “most” hospitals still give one or fewer masks per employee per day.

A new industry quickly sprouted around adapting masks policies for repeated use. Peter Tsai, the inventor of the N95 mask, came out of retirement to help the N95DECON project develop ways to sanitize and reuse the masks.

As of April 2020, ECRI data showed that 48% of surveyed hospitals were already using at least one method to sanitize masks for further use.

Setting the stage

When the pandemic began, the PPE situation in America was already precarious. The national stockpile had been depleted during the H1N1 crisis and not replaced, while American hospitals and other institutions became overly reliant on foreign imports. China, hammered by the pandemic months before it spread to the rest of the world, had taken two big actions: soliciting aid from other countries and clamping down on its own exports -- leaving few available for America to import.

American production capacity was too weak to pick up the slack. Previously burned by unstable demand, manufacturers like Prestige Ameritech simply weren’t prepared for the dire need faced by the pandemic-hit healthcare system.

An industry resurgence

The desperate need for PPE led to a resurgence in American production. Then-President Trump used the WW2-era Defense Production Act to boost PPE manufacturing, a move that the Biden administration is poised to continue. Many US firms in other industries pivoted to produce a variety of needed goods, from gowns to hand sanitizer.

The fallout

Despite production stabilizing, hospitals are still rationing to ensure a consistent supply of masks and to keep costs down. Scientists and frontline workers are expressing concern about the supply and the current CDC guidelines and hospital policies regarding who needs higher-tier protective gear.

To make matters worse, there’s also a need to question whether the PPEs that are available can be trusted.

A flood of fakes

A rare Umbrella EUA has allowed foreign masks Chinese KN95s to be used here in the US, but that’s opened the door for counterfeiters and lesser options. ECRI, an organization dedicated to monitoring healthcare safety standards, found that up to 70% of tested KN95 masks did not meet minimum safety standards for use in a healthcare environment. Some imported masks arrived alongside falsified National Institute for Occupational Safety and Health (NIOSH) approval paperwork, fake registry numbers, or information copied from other products.

Government agencies are working together to weed out the fakes, with over 11 million seized in recent weeks. Healthcare providers have to consult guides like this one from the FDA to identify legitimate manufacturers and this one from the CDC try to filter out the fakes. Nonetheless, shipments of fakes are still making their way to hospitals now.

Government action is helping to keep counterfeits out of workers’ hands, but in other areas, it may be causing problems.

The big disconnect

It took time, but American manufacturers did respond to the challenge. Now, they’re having trouble selling them.

Despite healthcare workers not having enough PPE and the US Strategic National Stockpile not yet reaching desired levels, an export ban has been modified to allow as many as 5 million masks to leave the country each month.

Why?

Kaiser Health News obtained a FEMA memo regarding this change, which was sent less than two hours before Joe Biden’s inauguration. According to KHN, the memo cites manufacturer Prestige Ameritech’s difficulties finding buyers for its high-end respirators and says that lifting this ban will allow American companies to continue their pandemic-accelerated pace of manufacturing.

Advocacy groups like Get Us PPE told KHN it believes current CDC guidelines, in particular the same pandemic-era emergency guidelines that allow reuse and waive requirements like fit testing, permit hospitals and other employers to order fewer PPE and restrict who gets protection. High-end respirators also aren’t yet recommended outside healthcare settings, even for people in high-traffic enclosed environments like public transit.

The domestic market is a mess. Smaller clinics and offices don’t know where to get verified PPE, while big storefronts like Amazon and Facebook are keeping manufacturers from selling to the public. There’s also a problem of cost, with more expensive American products reportedly struggling against the restored flow of cheaper imports.

The outlook

Keeping our healthcare workers safe is important, and the influx of fake products poses a real risk. With emergency guidelines still in place and the political field in a state of flux, it’s hard to see exactly where the situation will go. The message from workers on the front lines is clear, though: get more N95s onto faces, and make it fast.

Sean Marsala is a health writer based in Philadelphia, Pa. Passionate about technology, he can usually be found reading, browsing the internet and exploring virtual worlds.",www.medicaldaily.com
4,Can the mRNA vaccines change DNA?,"Coronaviruses range from the common cold to more severe infections such as SARS (SARS-CoV) and MERS (MERS-CoV) and the current Covid-19 (SARS-CoV-2). As yet there is no FDA-approved vaccine to prevent coronavirus infections. These both have FDA emergency use authorization.

Two of the Covid-19 vaccines available in the US use messenger RNA technology to prevent or reduce the symptoms of Covid-19 infection. This mRNA vaccine technology is new; the consequences of altered DNA, if any, are unknown. However, others, including the CDC said that the virus would not interact with DNA.

Other scientists believe that mRNA vaccines can enter and permanently alter DNA. Like DNA vaccines, RNA vaccines use part of the genetic code of the virus to get the immune system to respond.

An article currently in preprint (not yet peer reviewed) discusses a lab study in which some pieces of Covid-19 RNA were converted to DNA and then integrated into human chromosomes.

Medical Daily talked to lead author Rudolf Jaenisch, MD. A professor of Biology at MIT, Dr. Jaenisch, performed the first experiment proving that genetic defects could be corrected in rodents. Currently he is working on Parkinson’s, Alzheimer’s, autism and cancer in humans. He has won numerous awards for his work, including the Wolf Prize in Medicine.

MD: Does your recent study indicate that the Covid-19 mRNA vaccines can damage DNA in humans?

Dr. Jaenisch: Not really evidence of damage. The mRNA can integrate into the DNA and possibly be expressed but there is no direct evidence of that.

MD: If the mRNA vaccines can integrate into human DNA what could this mean for the future?

Dr. Jaenisch: It will be breakthrough technology. It will change the way diseases are treated.

MD: How will mRNA or DNA vaccines change treatments?

Dr. Jaenisch: These mRNA Covid-19 vaccines are the first to show safety and efficacy of this type of therapy. If there is sufficient evidence that this technology is safe and effective then this has huge potential for future therapies for treating many diseases.

The Jaenisch lab’s work might also explain why patients who have recovered from Covid-19 still test positive for the disease, even months later, according to an ABC news report. If the virus did modify these patients’ DNA, then its genetic information could still be active. The Jaenisch lab found that the virus used an enzyme called LINE-1 to get back into the cell to replicate. LINE-1 is readily available in the human genome.

Regarding whether mRNA vaccines could change DNA, Dr. Jaenisch thinks it might be a good thing. He also thinks this new technology will lead the way to breakthrough treatments for many diseases that affect people. Since Dr. Jaenisch has been studying DNA in cancer and neurological diseases for decades, what he thinks is likely more than most of us know.

Yvonne Stolworthy MSN, RN graduated from nursing school in 1984 and has spent many years in critical care and as an educator in a variety of settings, including clinical trials.",www.medicaldaily.com
5,Bill to Prevent Tip-Over Deaths Reintroduced,"In January 2021, the Consumer Protection Safety Commission* released a report on the number of accidents involving a piece of furniture or a television falling on someone. Of the 571 fatalities, 469 were children under 18 years. The report covered the years between 2000 through 2019.

In January 2018,** the CPSC released a similar report, which covered the years 2000 through 2017. That period had 542 reported fatalities, of which 450 involved children younger than 14. Nineteen more youngsters lost their lives between the two reporting periods because a tv or a piece of furniture were not anchored. In both studies, the vast majority of deaths involved a television.

USCPSC/Flickr CC BY 2.0

Congresswoman Jan Schakowsky, Democrat of Illinois, and fellow sponsor Senator Robert Casey of Pennsylvania, want to make furniture safer with the Stop Tip-Overs of Unstable, Risky Dressers of Youth Act of 2021 (STURDY act). The proposed legislation, first introduced in 2019 and not considered, was reintroduced by Schakowsky and Casey in February 2021. So far, the bill has 15 co-sponsors in the Senate, including Amy Klobuchar of Minnesota, Richard Blumenthal of Connecticut, and Corey Booker of New Jersey.

According to Consumer Reports, current furniture stability standards are voluntary. Manufacturers are not required to conduct safety testing before putting furniture on the market.

If it becomes law, the legislation would direct the CPSC to develop and enforce mandatory stability standards for clothing units, such as chests, dressers, and bureaus. The legislation is supported by several consumer groups including Parents Against Tip-Overs and the American Academy of Pediatrics.

Robert Calandra is an award-winning journalist and book author who has written extensively about health and medicine. His work has appeared in national and regional magazines and newspapers.

*Consumer Protection and Safety Commission; January 2021. Product Instability or Tip-Over Injuries and Fatalities Associated with Televisions, Furniture, and Appliances: 2020 Report.

**Consumer Protection and Safety Commission; October 2018. Product Instability or Tip-Over Injuries and Fatalities Associated with Televisions, Furniture, and Appliances: 2018 Report.",www.medicaldaily.com
6,The Top Pick For Your Mouth: Oral-B Glide Pro-Health Comfort Plus Dental Floss,"Oral-B

No doubt, brushing your teeth morning and night takes a lead role on the oral health stage, but flossing should be given its share of the limelight. While brushing cleans the surface of your teeth, dental floss removes the plaque, food, and other build-up from between your teeth that otherwise could cause long-term damage.

But which floss to choose? After reviewing top websites and user reviews, we are good with recommending the Oral-B Glide Pro-Health Comfort Plus Dental Floss .

Pro-Health Plus is shred-resistant and mint-flavored. Its manufacturer says Pro-Health floss slides more easily into tight spots between teeth than other brands.

Buyers agree. The Glide Pro-Health Comfort Plus currently has over 9,000 positive reviews on Amazon, and holds a perfect rating of 5 stars. This floss is gentle on gums but strong enough to do its job.

We recommend Oral-B Glide Pro-Health Comfort Plus Dental Floss as the best dental floss out there.

Medically reviewed by Yvonne Stolworthy, MSN, RN.",www.medicaldaily.com
7,CDC: Finger on J&J Pause Button Will Be Lifted in Days,"The pause on the Johnson & Johnson Covid 19 vaccine should last days, not weeks, according to CDC and FDA officials.

In a 37-minute online briefing Tuesday, government health officials said pausing administering the J&J vaccine will give scientists time to investigate what appears to be an autoimmune response that leads to cerebral venous sinus thrombosis, an extremely rare, severe stroke-like reaction.

With more than 6 million doses of the J&J vaccine administered so far, there are six known cases of CVST. All occurred in women 18 to 48 years of age. One woman has died and another is in critical condition.

CVST is rare, affecting five people in 1 million, according to Johns Hopkins Medicine. However, the J&J cases are even more rare because they are accompanied by a low platelet count, according to Peter Marks, MD, PhD, a panel member and director of the FDA Center for Biologics Evaluation and Research.

“Right now these events appear to be extremely rare,” Dr. Marks said. “That said, Covid-19 vaccine safety is a top priority for the federal government and we take all events following vaccination very seriously.”

In the reported cases, the adverse reaction occurred 6 to 13 days after receiving the J&J vaccine. Recognizing that the pause would worry people who have received it, Anne Schuchat, MD, a panel member and the CDC’s principal deputy director, tried to assuage fears.

“For people who got the vaccine more than a month ago, the risk to them is very low at this time,” said Dr. Schuchat. “For people who recently got the vaccine in the last couple of weeks, they should be aware to look for any symptoms.”

Those symptoms include severe headache, abdominal pain, leg pain, or shortness of breath. Anyone experiencing any one of those symptoms should immediately contact their doctor. Dr. Schuchat added that the CDC has not had any reports of low platelet counts in the more than 190 million people who received either the Pfizer/BioNTech or Moderna vaccines. Both of those vaccines use new mRNA technology. The J&J vaccine uses an adenovirus.

The CDC’s independent Advisory Committee on Immunization Practices was expected to begin reviewing the J&J case data Wednesday to consider the next step. In the meantime, officials will alert doctors about the symptoms and how to treat patients who are affected.

“We’re committed to follow the science and to ensure transparency and provide regular updates,” Dr. Schuchat said. “We are going to tell you what we know when we know it and what you can do to protect yourself. Our intention is to update you in the days ahead.”

While no one is sure about what causes the rare reaction, a leading theory, said Dr. Marks, is that an immune response activates platelets which leads to clotting and the stroke-like reaction. Similar cases of blood clotting have been reported in Europe with the AstraZeneca vaccine. In those cases blood clots formed in the gastrointestinal system.

Robert Calandra is an award-winning journalist and book author who has written extensively about health and medicine. His work has appeared in national and regional magazines and newspapers.",www.medicaldaily.com
8,"The Fitness Industry, Already Changed, Could Morph Even More","As more people get vaccinated, the prospect of life returning to something akin to normal is growing. But also growing is the number of new Covid 19 cases and the spread of its variants.

Consequently, people are still cautious about wearing a mask, who they see, and where they go. Being outdoors is clearly much safer than gathering indoors. And that’s not good news for gyms. But the road to fitness doesn’t necessarily require a gym.

The fact is, the pandemic has changed the way Americans are staying fit. Two industry veterans detail how the industry and modern technology brought the gym/trainer experience into the American living room.

The changing business

When the Covid-19 pandemic hit it shook the fitness industry. Like so many businesses, gyms were closed and even outdoor exercise groups were frowned upon. Exercise, like everything else, came home..

Home workouts aren’t new. Infomercials for products ranging from makeshift pull-up bars to multi-exercise gym machines to video lessons have played on late-night television for decades. The age of the iPad, built around easy connectivity, transformed fitness. And then came the pandemic.

“Almost overnight, everyone was looking for a solution that had nothing to do with the physical gym itself,” said Vincent Miceli, owner of The Body Blueprint gym in Westchester, New York and a new AI-powered accountability platform called Verb. “Everyone was scrambling [to find ways] to maintain memberships and add value. Six months of zero revenue [has] put almost all of us out of business.”

The answer: bring fitness training home.

Live training

The same video-streaming technology used for office meetings and school could be used to live-stream exercise classes into living rooms. Nick Hounslow, personal trainer turned cofounder and owner of online fitness community 1WRKOUT, appreciated how the pandemic would slash his gym-based business, so he pivoted his classes online. He realized that much of what trainers do in person, they could do over video.

“Live trainers offer accountability and a call to action from having been paid money,” said Hounslow. “There’s less of a novelty. You get motivation and investment.”

But one thing they can’t reduce is risk of injury by correcting a position or technique.

While Miceli isn’t a big fan of live video classes, he does see the benefits. For starters, the client doesn’t have to come to the gym.

“It removes having to go out,” he said. “It removes having to worry about babysitters. It removes feeling inadequate around a group of people. It removes any ego you may or may not have. It allows people to work within their own safety both with intensity, weight and comfort level.”

Recorded lessons

Perhaps the simplest form of home exercise is a recorded lesson. Whether printed in a book, a video tape of yore, a digital disc, or streaming online, entire lessons and workout routines can be brought into the user’s home, on his or her schedule.

If these options don’t appeal, there are always YouTube playlists or an interactive app.

Pre-recorded videos let gyms offer different exercises and workout programs. Coaches don’t need to be available to teach on demand, and members can work out when they want. Users can seek out of certain exercises and coaches can recommend workouts without worrying about schedules.

For Miceli, building a service is the key to making video work.

A new package

Verb AI, Miceli’s new platform, uses text-messaging combined with digital video, artificial intelligence technology, and real coaches. AI removes some of the guesswork by sending automated messages to gather information.

Once received, the program analyzes the information sent back.

At this point a human enters the picture. A coach studies the information and makes recommendations. To create a holistic view of a client’s wellness, coaches use answers from an AI-generated survey to evaluate factors such as sleep, stress, food, and hydration as well as physical activity.

“It [Verb] positioned us in a really interesting place,” Miceli said. “The majority of the world in the in-home space are in the hardware game or the app game. We decided to launch with what would be considered this low-tech solution.”

Relying on text messages to communicate with clients and keeping the complicated stuff behind the scenes allows almost anyone to use Verb AI. Plus, by expanding beyond the gym’s wall, the fitness experience can be all day or even all week.

“Verb just becomes part of the day, keeping people engaged through habit,” Miceli said. “Users will become accustomed to thinking more about their choices every day, even the traditional `off day’ from the gym.”

Verb had been in development when the pandemic hit. Within six months, growth was explosive, going from 80 users and a single coach, to 12,000 and 300 coaches. More than half of users have remained long-term.

Connections

At the heart of the 21st century concepts on home fitness is human connection. Both men agree that the key to keeping at-home fitness going is through engaging their clients and encouraging a sense of responsibility.

“[The program] takes you, as a user, five seconds to answer one of our questions,” Miceli said. For the coach, redirecting the user’s attention might take a couple of minutes because the coach has quickly received the “nuts and bolts.” Before, it would have taken the coach an hour to two hours a day of interaction. “It just was so simple, from the ease of use standpoint.”

With 1WRKOUT, the entire class shares a bond, much like they would in a gym or yoga studio.

”Groups in person and online create a feeling of community,” Hounslow said. “It's a very personal choice. Group training offers accountability while still affordable and allows you to be part of something bigger.”

Being in a group doesn’t mean you don’t get personal attention. “You still get some 1 on 1 attention during our classes,” Hounslow said.

The internet also opens up a wider world -- classes aren’t limited to people in the immediate area. “Talking to people in different places around the globe is cool, helps with the feeling of intense isolation,” Hounslow said.

Who’s it for?

Hounslow and Miceli said their clients are all different ages.

“Nineteen to 35 year olds are really attracted to this,” Miceli said. But “some of my longest standing clients are above 50. Both male and female.”

Hounslow agreed, noting that 1WRKOUT has classes filled with people from multiple generations. Some “from the same family and even better, families that haven't been able to see each other due to Covid can make workout dates and join classes together.”

And even though it’s designed for humans, furry friends have occasionally joined, too. “It's amazing! Pets also constantly come in,” Hounslow chuckled. “It's very funny!”

Ultimately, for Miceli, it’s less about demographics and more about goals, which should be re-evaluated monthly. “Really, the user we look for, and that speaks to the platform the most, is any person that just wants to understand what's working or not working for them. And that could actually be any person.”

A Lasting change

The pandemic isn’t finished changing the fitness industry.

“People realize that they can do so much at home so they may end up doing at-home some days and go to the gym others,” Hounslow said. Resting more, not dealing with traffic.”

Miceli agreed, and discussed the future.

“There’s no scenario where what’s going on in technology doesn’t reshape the fitness industry,” he said. “What I think is going to happen is that moving forward the fitness industry is actually going to be a combination of both. I don’t think video or in-home completely wins.

“People are going to look to this hybrid combination where they know they can get the fitness they need at home via video or via some interactive version of fitness and then have that same social atmosphere, the friends they saw at the gym, still go on a few days a week.”

Sean Marsala is a health writer based in Philadelphia, Pa. Passionate about technology, he can usually be found reading, browsing the internet and exploring virtual worlds.",www.medicaldaily.com
9,"Vape Products, Distribution, Have Got the FDA’s Attention","It’s a tough time to be a vaper. New restrictions at the federal and state levels will make it harder for them to buy and sell vaping products -- both with and without nicotine, as the FDA’s enforcement efforts continue to crack down on illegal vape distributors.

Shipping ain’t easy

Late in 2020, Congress passed new restrictions on how USPS can ship tobacco products; the expanded law now includes vaping products. The Prevent All Cigarette Trafficking (PACT) Act, signed into law in 2009, essentially said the US Postal Office could not deliver any tobacco products directly to the consumer.

In the 2020 bill, Congress amended the act, expanding the law to include any “electronic nicotine delivery system,” defined as “any electronic device that, through an aerosolized solution, delivers nicotine, flavor, or any other substance to the user inhaling from the device.” FDA-approved therapeutics and cessation tools are exempted so long as they are only marketed for cessation.

Private shipping firms FedEx and UPS have since adopted similar restrictions. FedEx will not accept any shipments of tobacco-related products. This even applies to shops, regardless of license or authorization.

UPS instituted new policies on April 5, banning delivery of tobacco-related products. Its listed policy is more specific than FedEx’s, stipulating the vaping products do not need to contain tobacco or nicotine to be affected by the ban. It also specifies that it will neither import nor export such products.

Violating the law carries civil and criminal penalties. The law was amended in 2010, for among other reasons, because tobacco suppliers and customers were using the internet for their transactions, bypassing federal laws for record-keeping and tax collecting. The US e-cigarette and vape market was valued at $6.09 billion last year.

FDA actions continue

The transition from the Trump to the Biden administration hasn’t slowed down ongoing FDA crackdowns on vape shops and e-cigarette distributors. So far this year, dozens of vape manufacturers and distributors have received warning letters from the Center for Tobacco Products. Many of the firms which received letters are manufacturers registered with the FDA, some with thousands of other products that have met the requirements.

The FDA regulates tobacco products under the Federal Food, Drug, and Cosmetic Act and the Tobacco Control Act of 2009. It defines tobacco products as “any product made or derived from tobacco and intended for human consumption, including any component, part, or accessory of a tobacco product.” That means both vaping devices and liquids are classified as tobacco products. The warnings are primarily for adding an unknown ingredient and not representing what the product truthfully contains or can do. In FDA parlance: adulterated and misbranded.

In the Federal Food, Drug, and Cosmetic Act, products are “adulterated” because they have not been granted FDA authorization for production and sale, and “misbranded” because they do not carry a mandatory notice with manufacturing and content information.

A hodgepodge of local rules

At the state and local levels, change is also in motion-- in multiple directions. Prospective

vapers and distributors will have to keep a close eye on new developments.

According to local reports, Florida is moving to raise the smoking and vaping age to 21 and to regulate vaping products separately from combustibles. Tennessee is also raising the age to 21, while Suffolk County, New York considers an even bigger increase to 25.

Flavor bans are under consideration in Indiana and as part of a larger list of restrictions in Connecticut, while an indoor vaping ban recently passed in Nebraska. South Carolina is introducing legislation to take regulatory power away from municipalities and to concentrate it at the state level.

The take home

The FDA is not offering anything new in terms of vaping safety information, but its regulations do underscore something every consumer should remember: Be careful about the sources you trust, and take the time to make sure you know what you’re buying. Especially in evolving markets, it’s important to pay heed to those gray areas.

Sean Marsala is a health writer based in Philadelphia, Pa. Passionate about technology, he can usually be found reading, browsing the internet and exploring virtual worlds.",www.medicaldaily.com
